Sample code,Depth (cm),Soil type,Mg,P,K,Ca,Ti,Li,Be,Al,V ,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Cd,Cs,Ba,Tl,Pb,U
,,,(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg),(mg/kg)
B8.7,70,Ulti,103.5295214,407.0011389,148.6863817,61.92334697,2249.035819,1.415892842,0.226792286,77894.77249,127.3035707,66.96272063,103.8382921,50873.30525,0.735714062,2.713548643,1.89921532,10.71786373,11.826103,1.91035422,0.714890834,21.025733,1.628223285,0.10374322,0.071244975,0.079009991,20.1559885,0.017302614,11.02735306,2.444999552
B8.8,80,Ulti,94.01403899,356.7915689,156.8315119,64.19529916,2192.057352,1.310457141,0.249288321,77146.80094,130.6623041,69.53100151,90.75304565,51321.65523,0.70996389,3.192369275,1.450888998,7.169169611,12.26916793,1.836649566,0.689093907,20.1768548,1.691686489,0.107467334,0.064318146,0.075740408,21.03190021,0.017433993,11.62157786,2.440957661
B8.9,90,Ulti,105.2825101,357.6564767,157.0692776,67.24697673,2213.450717,1.319027916,0.249521642,81922.72759,131.7284283,70.01342835,95.21641698,52493.45808,0.744240654,2.982788049,1.786831205,7.252470708,12.27201877,1.777812359,0.761053412,22.56420265,1.652126297,0.105869387,0.061776212,0.078253135,20.97174229,0.018368587,11.50436419,2.412383482
B8.10,100,Ulti,93.09539844,316.7123811,175.1141433,52.50335052,2242.446165,1.345562746,0.261599449,82086.02748,135.213861,72.48592477,85.07285977,53390.97781,0.740970183,3.010089594,1.870729461,6.995341329,12.83573472,1.678824333,0.832508622,21.50070469,1.686881458,0.101652272,0.064655436,0.083126423,21.23816237,0.019130458,11.57402848,2.414143758
B9.1,10,Ulti,101.0094048,390.6121427,148.2443431,86.44887049,1759.857227,1.328425495,0.175279374,57216.01251,93.74798964,49.69333673,113.1000319,38411.31271,0.649842779,1.998140402,1.787379885,5.223495933,8.750693685,1.423422703,0.781961761,17.11731908,1.156273801,0.080914937,0.055988221,0.085804033,14.71626561,0.013487096,7.926815645,2.128976581
B9.2,20,Ulti,111.4863805,386.0121172,157.4441121,71.40619946,2079.905131,1.436223233,0.208871802,67959.15337,110.7084284,58.10723054,115.8133637,44663.27309,0.705018703,2.340000203,1.382402849,5.891592028,10.37667775,1.731584357,0.833243864,19.98626414,1.410092653,0.102962167,0.069154659,0.084311777,17.89670172,0.016748041,9.83657115,2.349977674
B9.3,30,Ulti,117.1474935,399.0041451,162.3263826,73.84110551,2211.89799,1.446140225,0.237319984,74176.39226,118.2760308,61.97975141,116.0014314,48311.39822,0.753197274,2.787879367,2.376916234,7.140639317,11.12652065,1.800270521,0.840435208,21.35348627,1.490895228,0.104552974,0.085711063,0.087131488,18.82424296,0.016602696,10.65699762,2.560243779
B9.4,40,Ulti,102.1046093,371.8343284,152.9406167,64.62995129,2101.637161,1.4334,0.223210428,70481.42299,117.5009798,62.30101338,109.5858781,47691.47604,0.741057766,2.597102346,1.760385788,6.674297625,10.94108609,1.827340166,0.746613811,19.42130141,1.504035052,0.110468037,0.081095502,0.084834809,18.36214769,0.015612299,10.50144644,2.430437097
B9.5,50,Ulti,103.1493495,228.1587267,110.6296981,84.3162188,2345.781487,0.926557737,0.170741646,75888.90902,103.1795027,54.71762287,81.39752847,55360.89281,0.5725795,1.235827024,1.79663028,7.800380393,9.416577985,1.838581119,0.689133726,23.2091778,1.59183105,1.09915707,0.099822529,0.084001551,19.94541145,0.011420098,7.025619587,1.686699102
B9.6,60,Ulti,98.13486342,209.8287391,104.3479774,77.8036647,2540.573768,0.903093302,0.166484996,77385.44202,105.5668727,56.77313317,101.1237091,56093.00322,0.579507625,1.226555139,1.641274729,8.103913083,9.829017763,1.768981829,0.676571856,23.3519639,1.648245347,0.533331731,0.090341212,0.082018763,20.07937452,0.011357913,7.09770139,1.684987393
B9.7,70,Ulti,97.17651832,214.4512576,115.9080288,87.23159425,2477.256987,0.910979387,0.178245841,78190.13928,108.3983189,57.07130032,79.54828007,57028.65258,0.576236776,1.510509605,2.103568549,7.763502523,10.26127687,1.723608474,0.731802304,23.45961147,1.684769688,0.34309499,0.081630503,0.089284329,21.13758696,0.010890128,7.218226198,1.7841579
B9.8,80,Ulti,82.20082513,180.980889,115.7463495,61.98590014,2333.237941,0.814630509,0.169575348,74310.81524,105.078633,54.74023924,75.56450374,54628.99277,0.527645608,2.218032664,1.419372649,6.850189653,10.0227557,1.583432288,0.743213664,21.69283994,1.6662691,0.245839978,0.074013374,0.085171638,21.44049692,0.011577559,7.356972195,1.668326914
B9.9,90,Ulti,76.4397573,161.9657875,116.5137391,56.25022545,2272.525122,0.785808947,0.166657995,68783.53098,100.0127725,51.59011479,78.48546815,51446.85022,0.518967664,1.587080506,1.463193335,6.352095551,9.439110399,1.450987708,0.731980564,19.59175527,1.58207129,0.184957399,0.079959793,0.084450117,21.08566573,0.011243191,7.278779009,1.676063874
