Coordinate X,Coordinate Y,ID,Depth (cm),pH H2O,pH K2O,P (mg/dm3),K (mg/dm3),Na (mg/dm3),Ca (cmolc/dm3),Mg (cmolc/dm3),Al (cmolc/dm3),H+Al(cmolc/dm3),Fe (mg/dm3),Zn (mg/dm3),Mn (mg/dm3),Cu (mg/dm3)
807953.4,9640172.5,26,60,4.99,4.29,94,2,1,0.94,0.3,0.38,2.51,26,1.74,3.93,0.7
807901.9,9640201.6,31,60,5.01,4.08,84,2,1,0.63,0.05,0.72,4.26,32,1.15,3.33,0.77
807898.9,9640145.4,36,60,5.9,4.59,141,7,1,1.52,0.51,0,4.03,29,2.92,6.32,1.49
807840.7,9640153.4,41,60,4.98,3.98,112,6,1,0.94,0.05,0.74,3.43,37,4.87,12.76,1.9
807873.5,9640106.8,46,60,5.28,4.32,110,5,1,1.53,0.04,0.13,2.06,34,2.28,8.89,1.36
807859.7,9640087.6,51,60,5.68,4.6,292,9,6,3.56,0.12,0,1.85,38,12.66,13.28,3.41
807969,9640158.7,56,60,5.48,4.37,84,3,1,1.15,0.2,0.12,2.59,30,2.2,6.95,1.27
807998,9640199.8,61,60,4.69,4.01,51,4,1,0.14,0.1,1.06,2.74,30,0.44,0.86,0.18
807939.9,9640116.3,66,60,4.97,4.04,159,5,1,0.67,0.15,0.5,2.95,34,1.48,2.25,1.3
807909.3,9640072.3,71,60,5.04,4.12,141,3,1,0.85,0.32,0.44,2.87,29,1.06,3.61,0.7
807902.4,9640061.5,76,60,5.45,4.42,268,17,4,3.84,0.39,0.13,2.48,27,8.73,21.73,2.24
807952,9640047.1,81,60,5.35,4.29,174,5,1,1.61,0.38,0.13,0.96,35,2.84,7.16,1.65
807941,9640028.3,86,60,5,4.11,152,6,1,1.14,0.22,0.32,2.61,27,1.82,5.22,1.14
807985.7,9640011.1,91,60,5.7,4.56,834,24,12,4.35,0.82,0,6.01,49,14.74,31.74,3.14
807974.5,9639989.4,96,60,5.13,4.02,261,19,3,1.45,0.36,0.85,7.26,27,5.95,12.29,2.11
807975.3,9640084,101,60,5.02,3.99,224,4,1,0.95,0.13,0.52,5.31,44,1.27,2.14,1.21
808007.3,9640127.1,106,60,5.03,4.11,80,5,2,0.61,0.26,0.46,4.36,24,1.08,4.37,0.47
808034.1,9640168.2,111,60,4.8,4.01,37,6,2,0.28,0.13,0.89,2.99,28,0.28,1.91,0.19
808064.9,9640209.1,116,60,4.78,4.02,16,4,1,0.13,0.06,0.93,3.68,30,0.38,1.34,0.16
808104.4,9640180.2,121,60,4.55,3.96,32,3,1,0.08,0.02,1.45,5.66,56,0.2,1.21,0.25
808075.4,9640139.2,126,60,4.6,3.97,75,3,1,0.06,0.03,1.09,4.55,24,0.53,2.19,0.62
808046,9640097.3,131,60,5.58,4.28,65,4,1,1.88,0.24,0,3.96,18,4.04,11.67,0.45
808015.9,9640052.4,136,60,5.59,4.4,173,9,2,1.7,0.27,0,4.92,25,8.47,9.02,2.02
808057.2,9640023.2,141,60,5.04,4.04,140,5,1,0.64,0.18,0.66,4.7,30,3.91,4.68,1.38
808087.7,9640064.1,146,60,4.94,4.02,52,3,1,0.2,0.07,0.9,3.98,22,0.98,2.49,0.45
808029.6,9639981.6,151,60,5.27,4.09,164,4,1,1.11,0.28,0.48,6.04,29,3.83,6.26,2.51
808014.1,9639959.9,156,60,5.75,4.48,587,11,9,4.46,0.25,0,5.33,27,17.14,13.66,3.51
808114.4,9640107.1,161,60,4.81,4.1,42,3,1,0.07,0.06,1.17,1.5,28,0.15,1.29,0.2
808146.7,9640147.2,166,60,4.66,4.09,24,3,1,0.07,0.03,1.24,2.72,26,0.14,1.06,0.13
808174.3,9640128.7,171,60,4.49,4.06,10,3,1,0.04,0.02,1.42,1.45,53,0.18,1.08,0.1
